rep,spp,g,d,t,day,month,year
a,ep,0.126944468,2.192009411,32.72826574,16,5,2024
a,ep,0.123330734,1.2956859,32.97943454,16,5,2024
a,ep,0.106803727,1.308162253,23.54268524,16,5,2024
a,ep,0.091154331,2.210756843,23.34265268,16,5,2024
b,ep,0.164741017,2.201589189,32.32177125,23,5,2024
b,ep,0.091951893,2.221902774,22.92390381,23,5,2024
b,ep,0.077281128,1.299295179,23.09899941,23,5,2024
b,ep,0.129767902,1.302644938,32.71798584,23,5,2024
c,ep,0.141110427,2.189630572,32.8301748,30,5,2024
c,ep,0.11359618,1.412674399,33.29652855,30,5,2024
c,ep,0.091132768,2.209190823,23.65396339,30,5,2024
c,ep,0.07408989,1.410968238,23.95187308,30,5,2024
b,hv,0.146425065,1.275284504,23.21280712,17,5,2024
b,hv,0.107997703,2.197980732,22.96521804,17,5,2024
b,hv,0.120731048,1.337415563,32.85009204,17,5,2024
b,hv,0.144372242,2.213969587,32.21935547,17,5,2024
c,hv,0.079080759,1.484905266,33.62839641,20,5,2024
c,hv,0.090885224,2.223912366,23.7395851,20,5,2024
c,hv,0.09167913,1.479722116,24.06705881,20,5,2024
c,hv,0.056586638,2.216208725,33.65943654,20,5,2024
d,hv,0.108449267,2.241317532,23.69845942,21,5,2024
d,hv,0.113674736,2.189064964,32.98175566,21,5,2024
d,hv,0.145516325,1.346646077,33.15485866,21,5,2024
d,hv,0.172728528,1.324761455,23.71234331,21,5,2024
e,hv,0.114648022,1.314796019,21.62250189,3,7,2024
e,hv,0.225209425,2.187769414,28.78464771,3,7,2024
e,hv,0.118242124,2.183999694,20.18966033,3,7,2024
e,hv,0.238431617,1.278814971,29.69091364,3,7,2024
f,hv,0.103691158,2.194764182,21.14666981,15,7,2024
f,hv,0.281192094,1.29178279,29.86026955,15,7,2024
f,hv,0.223039146,2.188971279,28.97341631,15,7,2024
f,hv,0.242119497,1.303246496,20.63865856,15,7,2024
g,hv,0.262772505,1.286296641,30.18960259,17,7,2024
g,hv,0.133095933,2.223474849,20.79479949,17,7,2024
g,hv,0.191990855,2.211170646,29.51631339,17,7,2024
g,hv,0.202961695,1.300887008,21.0288917,17,7,2024
h,hv,0.100571563,1.324576712,21.8350225,19,7,2024
h,hv,0.087098494,2.197372474,21.33551352,19,7,2024
h,hv,0.205557843,2.185063801,29.07186894,19,7,2024
h,hv,0.259172974,1.293649398,30.01002696,19,7,2024
i,hv,0.119963177,2.219372005,21.57879776,22,7,2024
i,hv,0.20464857,1.311947861,21.62035747,22,7,2024
i,hv,0.224305007,2.172477756,29.85761912,22,7,2024
i,hv,0.309044412,1.29250105,30.29515877,22,7,2024
a,pv,0.340050815,1.293669346,32.54677382,10,5,2024
a,pv,0.212019547,1.303412972,23.74131617,10,5,2024
a,pv,0.259851423,2.244705989,32.16370214,10,5,2024
a,pv,0.118667375,2.229671295,23.50891006,10,5,2024
b,pv,0.145445018,1.611165983,23.99811221,14,5,2024
b,pv,0.126795586,1.590921142,33.25345698,14,5,2024
b,pv,0.191410668,2.207852118,32.80742344,14,5,2024
b,pv,0.115012428,2.200423592,23.92984896,14,5,2024
d,pv,0.027266509,2.202409193,22.97898854,16,4,2025
d,pv,0.031137239,1.303767269,22.96731649,16,4,2025
d,pv,0.085035717,2.197047963,32.32938542,16,4,2025
d,pv,0.100484695,1.300382668,32.42334737,16,4,2025
e,pv,0.178061895,2.202520986,22.34327895,17,4,2025
e,pv,0.245173317,1.301325362,22.49252083,17,4,2025
e,pv,0.443773679,1.299447793,32.49527684,17,4,2025
e,pv,0.365759319,2.204224472,31.94316667,17,4,2025
b,vr,0.056840319,2.20686423,24.45822478,28,5,2024
b,vr,0.052197548,1.760219554,24.54354292,28,5,2024
b,vr,0.041012989,2.199878992,34.13447066,28,5,2024
b,vr,0.035475233,1.738182604,34.16478191,28,5,2024
c,vr,0.102684118,1.752593557,33.34543103,3,6,2024
c,vr,0.074064235,2.225854476,24.5173532,3,6,2024
c,vr,0.08487858,1.747028623,24.5599965,3,6,2024
c,vr,0.090053732,2.219732331,33.97826807,3,6,2024
d,vr,0.089462169,1.303436688,23.05729896,16,5,2025
d,vr,0.132220225,1.29381606,32.82127553,16,5,2025
d,vr,0.074618416,2.202178809,32.84956947,16,5,2025
d,vr,0.047536125,2.200581478,23.19176304,16,5,2025
a,vvpn,0.074311943,2.193787392,32.61327616,24,7,2024
a,vvpn,0.075456641,1.602047617,23.49342034,24,7,2024
a,vvpn,0.083556106,1.586565957,32.65750081,24,7,2024
a,vvpn,0.067706474,2.183454189,23.38595195,24,7,2024
b,vvpn,0.096676954,2.214366049,22.66736376,26,7,2024
b,vvpn,0.124039407,1.28459307,31.75457253,26,7,2024
b,vvpn,0.133792108,1.303485352,22.82796389,26,7,2024
b,vvpn,0.148262694,2.257999947,31.59922065,26,7,2024
c,vvpn,0.093903276,2.249073138,22.54775878,29,7,2024
c,vvpn,0.157594738,2.185446958,31.63546889,29,7,2024
c,vvpn,0.198390122,1.291864145,31.7005076,29,7,2024
c,vvpn,0.143996031,1.265907507,22.62591006,29,7,2024
d,vvpn,0.075087331,2.193347876,31.89564234,30,7,2024
d,vvpn,0.104882641,1.300819828,22.41096878,30,7,2024
d,vvpn,0.141323738,1.263462101,31.57234386,30,7,2024
d,vvpn,0.080081061,2.205242464,22.3067063,30,7,2024
e,vvpn,0.05306431,2.192878352,22.40571438,2,8,2024
e,vvpn,0.057758537,1.315837337,22.47466651,2,8,2024
e,vvpn,0.035254134,2.212982866,32.01423775,2,8,2024
e,vvpn,0.060440685,1.293775705,31.97456371,2,8,2024
f,vvpn,0.19395162,1.296729742,31.00370216,5,8,2024
f,vvpn,0.195963094,2.198201804,30.90545445,5,8,2024
f,vvpn,0.16927331,1.286573652,22.00378635,5,8,2024
f,vvpn,0.113657143,2.218305234,21.85932707,5,8,2024
g,vvpn,0.048734681,2.203229688,32.9840883,14,5,2025
g,vvpn,0.049195096,1.299082147,23.26647158,14,5,2025
g,vvpn,0.043214707,2.201441555,23.15781474,14,5,2025
g,vvpn,0.05684879,1.29888507,33.10890323,14,5,2025
a,zm,0.128842453,2.209937111,23.2555663,15,4,2024
a,zm,0.171011253,1.302661548,32.93746525,15,4,2024
a,zm,0.162358266,1.322393361,23.36004612,15,4,2024
a,zm,0.17904687,2.211131799,32.72575834,15,4,2024
e,zm,0.171529065,2.22729163,30.9451868,9,7,2024
e,zm,0.148567093,1.290336519,22.56407672,9,7,2024
e,zm,0.194693901,1.353145872,31.59212835,9,7,2024
e,zm,0.12433203,2.206147649,22.01882305,9,7,2024
f,zm,0.157561926,1.30507416,31.60537647,12,7,2024
f,zm,0.121628851,2.214118864,21.75182734,12,7,2024
f,zm,0.14685583,1.289223969,22.32395948,12,7,2024
f,zm,0.182930306,2.249291216,30.51338188,12,7,2024
